vote_intention,age,sex,education,income,party_id,party_id_str,party_id_imp,ideology,feeling_democrat,feeling_republican,political_knowledge_intro,political_knowledge_catch1,political_knowledge_catch_feedback,political_knowledge_senate_term,political_knowledge_least_spending,political_knowledge_house_majority,political_knowledge_senate_majority,political_interest,follow_politics_media,understand_issues
2,46,1,4,21,2,7,4,6,0,85,1,1896,1,1,0,1,1,2,2,2
1,41,1,3,7,2,6,3,3,50,70,1,1896,1,0,1,0,0,3,3,2
1,71,0,3,3,3,3,4,4,85,15,1,2000,-1,0,0,1,1,2,2,2
2,37,0,3,4,2,6,3,4,15,75,1,1896,1,0,1,0,0,2,3,2
1,55,1,2,18,1,2,5,4,50,30,1,2000,-1,0,1,1,0,3,3,3
2,30,0,2,1,2,7,3,6,0,85,2,1978,-1,0,1,1,0,1,1,1
1,41,0,3,3,3,3,3,4,60,40,1,1800,-1,1,1,0,1,2,3,2
2,66,1,3,7,3,5,3,6,0,100,1,1960,-1,0,0,1,1,2,2,3
1,80,0,2,5,1,2,4,3,85,30,1,1966,-1,0,1,1,1,2,2,2
2,31,1,5,12,2,7,1,6,0,100,1,1950,-1,0,1,1,1,3,2,2
1,80,0,1,6,1,1,1,4,70,15,1,1982,-1,1,0,0,1,2,3,3
1,24,1,4,21,3,3,3,2,25,0,1,1978,-1,1,1,1,1,1,2,2
1,66,1,5,22,2,6,4,5,60,0,1,1927,-1,1,1,1,1,1,2,1
1,41,1,2,15,1,1,3,4,60,30,1,1998,-1,0,0,0,1,4,3,5
2,66,1,4,20,2,7,2,6,0,70,1,1940,-1,1,1,1,1,2,2,2
1,60,0,5,20,1,2,5,2,60,15,1,1980,-1,1,0,1,1,1,2,2
1,73,0,5,8,1,1,2,1,85,0,1,1958,-1,1,1,1,1,1,1,1
2,37,0,4,19,2,7,3,6,30,85,1,1950,-1,1,0,0,0,3,3,4
1,56,0,3,4,1,1,1,4,78,-9,1,1970,-1,0,0,1,1,2,2,2
2,48,1,5,10,2,7,3,7,0,15,1,1492,-1,1,1,0,0,1,1,1
2,72,0,3,22,3,5,2,3,40,85,1,2000,-1,0,0,1,0,3,3,2
2,55,1,2,1,2,7,1,6,0,100,2,1960,-1,0,0,1,1,2,2,2
1,79,1,3,10,1,1,2,2,85,0,1,1942,-1,0,1,1,1,1,1,2
1,38,1,4,21,3,3,4,3,80,0,1,1950,-1,1,1,1,1,2,2,2
2,42,0,4,12,2,7,1,4,20,100,1,1982,-1,0,1,1,1,3,3,4
1,70,1,5,15,3,3,1,6,70,30,1,1891,-1,0,1,1,1,2,2,1
1,65,0,5,9,1,1,3,3,70,45,1,1973,-1,1,0,0,1,2,2,4
1,48,1,2,9,2,6,3,4,40,70,1,1980,-1,0,0,0,0,2,2,2
2,55,1,2,13,3,5,2,6,15,85,1,1975,-1,0,1,0,0,2,2,2
1,54,1,4,19,3,4,5,5,30,30,1,1980,-1,0,0,1,1,4,3,2
1,38,0,5,13,1,2,3,4,60,30,1,1956,-1,0,0,0,1,3,3,3
1,80,1,5,10,1,1,2,2,70,0,1,1990,-1,1,1,1,1,1,1,1
1,37,0,5,15,1,2,4,2,70,15,1,1900,-1,1,1,1,1,1,1,2
1,38,1,4,22,3,3,2,2,50,30,1,1915,-1,1,1,1,1,1,1,1
1,60,1,3,11,3,5,2,4,0,85,1,1968,-1,0,0,0,0,2,1,2
1,46,1,3,14,3,3,4,5,85,0,1,1968,-1,0,0,1,1,2,2,1
1,78,0,5,17,1,1,4,1,40,0,1,1830,-1,1,0,1,1,1,1,1
1,39,0,5,16,1,1,4,2,70,10,1,1980,-1,1,1,1,1,1,1,2
1,33,0,5,11,1,2,5,2,70,30,1,1952,-1,0,0,1,1,2,2,2
1,74,0,5,1,1,1,2,2,100,0,1,1985,-1,1,0,1,0,2,2,2
1,61,0,3,10,1,2,4,3,70,15,1,1959,-1,0,1,0,0,2,2,3
2,70,1,3,6,3,5,2,4,0,60,1,1950,-1,1,1,1,1,2,2,1
2,72,1,4,18,3,5,5,5,15,60,1,1974,-1,1,0,1,1,1,1,2
2,78,0,3,10,2,7,1,7,0,100,1,1950,-1,0,0,1,1,1,2,2
1,43,0,4,10,1,1,3,2,70,0,1,1960,-1,0,1,0,1,2,2,2
1,44,0,4,21,1,2,3,3,70,15,1,1990,-1,0,1,0,1,1,2,2
1,50,0,3,6,1,1,5,4,85,15,1,1987,-1,0,0,1,1,3,3,2
1,33,0,4,15,3,3,4,3,70,0,1,1950,-1,0,0,0,1,2,2,4
2,28,0,4,20,2,6,5,5,15,70,1,1994,-1,0,0,1,1,4,3,4
2,34,0,5,22,2,7,3,5,30,85,1,1967,-1,1,1,1,1,2,2,3
2,24,0,4,20,2,7,4,2,0,100,1,1999,-1,0,0,0,1,3,3,4
1,75,1,2,7,1,1,2,3,70,30,1,2000,-1,1,1,0,0,2,2,2
2,61,1,4,13,3,4,2,5,0,60,1,1970,-1,0,1,1,1,2,1,1
2,80,0,5,22,2,7,1,6,15,70,1,1995,-1,1,0,0,0,1,1,2
1,58,1,3,18,3,3,1,3,60,15,1,1933,-1,1,1,1,1,1,1,1
1,80,0,3,9,3,4,3,4,70,60,1,2000,-1,0,0,1,1,2,3,3
1,45,0,5,17,1,1,4,2,85,50,1,1972,-1,0,0,0,1,3,2,2
